measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1994,3298370.947034161,3515966.762134219,2788795.5658584144
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1995,1020367.2597339596,2162106.922159506,512985.1108869289
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1997,1076745.6520234102,2277880.2693224745,537940.6427841459
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1995,13135903.04245438,13692179.340143258,12488114.587216325
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1995,3314399.029759449,3529546.357664048,2821928.6806421587
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1997,13346703.775736136,13884908.04089413,12684355.192037357
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1997,3383022.254487672,3588904.9372158935,2879913.930356315
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1998,3402606.1561164493,3604150.149762903,2912948.903066852
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1996,13220306.522863762,13730793.483965868,12533934.399265286
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1996,3343716.49750072,3544708.9031029814,2815143.4218931543
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2000,1172773.7377854637,2494398.9117096607,580853.9745812874
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1998,1106495.0369870225,2358733.5668891417,556416.7508467105
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2002,14509075.325414632,15069973.31113023,13730673.322532859
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2002,3491562.072916854,3669362.7085271263,3070941.531236589
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2004,1329881.0106356714,2836561.0383706014,654109.3346688843
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1999,13727834.94031793,14275926.060832528,13014945.01366687
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1999,3420829.683058672,3620763.1131013543,2947504.1411825367
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1999,1138442.541567182,2423272.2501489893,568341.6748067976
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2006,14999651.697229834,15563721.36065153,14125100.262020288
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2000,13964207.40249901,14487058.074489474,13256004.06754221
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2000,3451228.1511614146,3643979.164791963,2996442.2893516337
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2006,3462798.0230770893,3637362.0730529577,3139013.1102712243
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2001,14192853.915596465,14720300.239292745,13449699.069068715
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2001,3467076.0776514425,3662887.899915382,3046079.562801016
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2002,1250769.5218607325,2658532.4313701577,622693.9169180527
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2001,1210042.5689236862,2554713.4017116237,604802.1579472363
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2004,14753751.438880356,15306328.547705406,13916575.639914794
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2004,3464171.55798524,3644253.7118404377,3092177.7888315283
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2008,1528655.2644374748,3315237.416082332,739281.9935168666
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2003,14718319.524738763,15285773.763511717,13896032.296736315
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2003,3492938.392137753,3682424.966113889,3099755.1455361014
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2005,15003467.016212326,15605013.443820242,14175238.704386992
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2005,3480523.300587985,3666862.6363046137,3116792.9205968836
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,1752069.9779604366,3778358.487648342,831545.5797945687
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2005,1378869.00581202,2955829.2813223554,679690.0132202181
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2014,16724998.052892322,17443283.500602685,15566255.032611774
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2006,1422904.2239551067,3069461.4628985818,694852.3178886529
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2003,1290577.9934903262,2752448.231136313,639057.2562845516
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2010,15846711.490876496,16439726.450687753,14877442.59145048
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2018,18124017.71308582,19220961.682762872,16702823.435165185
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2014,3653162.4810618176,3854886.2349614054,3324166.2283523106
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2018,3888249.1562828636,4190534.3306898223,3513516.469517293
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,2008444.4813878003,4388910.813645927,934771.7355037648
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2010,3511351.2789765974,3690537.8572133235,3199553.669104454
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2008,15410389.67876473,16053619.501859616,14518938.429743227
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2007,15125503.557015518,15682368.245272573,14257762.049256261
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2007,3468794.961880704,3647180.8377481042,3140841.840220411
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2008,3511599.8073255895,3702700.988893166,3179306.23419849
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2007,1472238.7245734427,3184843.2095891177,714122.2837344402
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2011,16046899.555463623,16748843.17543006,14925902.877751866
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2011,3540614.813357392,3737692.94510792,3223937.8703928525
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2009,15561019.567686852,16164824.584390992,14601236.173278082
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2009,3499545.1549663097,3676636.7977465726,3190243.170747396
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,1694877.784154906,3638514.8852136983,807700.6516327682
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2009,1581658.9244777174,3390912.0756100183,760756.080313351
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2012,16254037.566251503,16919269.552648887,15221611.768338893
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2012,3559736.257116707,3755335.6855205838,3236048.9838642287
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,1813309.0339617745,3891967.4275656138,856267.38334429
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2010,1639121.8213201908,3526079.6374984365,782820.657196974
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2013,16499034.182153914,17201064.759466734,15378964.441276446
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2013,3612297.998964469,3797786.9203345873,3294738.3074484672
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,1874820.645379051,4043263.302251295,883818.9169168894
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,1939288.8841574597,4200565.940015343,910615.3930107768
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,2152686.9515169496,4681404.985551725,994822.6842523816
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2015,17099163.883020513,17879806.284425348,15933571.009428503
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2015,3692439.017602864,3906449.8082523663,3334161.957510849
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2016,17408326.154912442,18311197.24887795,16191012.017052943
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2016,3742352.581710069,3984265.5351068145,3409502.02977778
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2017,17695752.41362152,18602290.147909258,16432056.430127224
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2017,3797537.8141818363,4041354.276388067,3455335.961737926
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,2077791.4391285698,4513364.583478237,967133.6977953071
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2019,18562509.66780174,19721374.125197165,17079965.261932913
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2019,3974314.519532562,4303822.871300143,3581756.6387082143
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,2221323.39638173,4759828.9575915355,1027903.1552442888
